Prediction,Actual,Carat,Cut,Color,Clarity
-1146.3127173571756,368,0.37,2,6,1
-1207.2893254642167,982,0.47,2,3,1
746.5319926603433,1715,0.51,3,6,2
1260.668070669024,2650,0.71,3,2,2
5461.851902245939,7333,0.9,3,2,7
6799.98446525353,13039,1.04,3,7,4
