Prediction,Actual,Carat,Cut,Color,Clarity
791.4884721605071,900,0.41,2,1,3
551.3927547582367,1100,0.32,3,3,3
1288.8130156657403,2600,0.58,5,1,3
2585.094085158729,5200,0.74,2,6,3
6208.8444092548325,11000,1.31,2,3,3
3115.647369256131,4400,0.9,3,2,1
