Prediction,Actual,Carat,Cut,Color,Clarity
686.0800842899881,400,0.34,5,6,1
686.0800842899881,560,0.3,5,5,2
1346.080203214229,1020,0.51,2,7,1
1779.389821719746,2510,0.6,3,7,5
5268.717643062163,5010,0.97,2,7,5
9175.15638409366,10060,1.5,5,4,2
