Prediction,Actual,Carat,Cut,Color,Clarity
-2257.515248407067,394,0.32,5,1,2
1584.6145122891667,918,0.4,3,7,5
1881.0885382297474,1705,0.6,5,3,4
3360.2377185363603,2367,0.73,5,4,4
6812.654763807164,6105,1.04,5,3,6
11328.538877085923,13348,1.51,5,4,6
