Prediction,Actual,Carat,Cut,Color,Clarity
3768.226898736415,3465,0.94,3,5,1
-2347.0186824865586,460,0.25,3,2,3
2308.27861125816,2205,0.7,3,4,3
15856.118651851217,23920,2.17,5,6,2
9996.14997204274,11860,1.51,3,7,2
5345.201244987087,6010,1.1,5,3,2
