Prediction,Actual,Carat,Cut,Color,Clarity
-1377.599060245071,900,0.41,2,1,3
-1403.7639021162067,1100,0.32,3,3,3
565.5307976724816,2600,0.58,5,1,3
3160.0433749612694,5200,0.74,2,6,3
7296.906233021606,11000,1.31,2,3,3
2456.830024111432,4400,0.9,3,2,1
